Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Flora,Angiospermas,Salicaceae,Abatia angeliana,-,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Sim,Nao,2,Sim,PR,2014
Fauna,Aves,Cracidae,Aburria jacutinga,Jacutinga,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Extracao Direta:Caca/Pesca; Extracao Florestal,Sim,Nao,Nao,4,Nao,BA; ES; MG; PR; RJ; RS; SC; SP,2014
Flora,Angiospermas,Malvaceae,Abutilon anodoides,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Assentamentos Humanos: Cidades,Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Malvaceae,Abutilon nigricans,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,SP,2014
Flora,Angiospermas,Santalaceae,Acanthosyris paulo-alvinii,-,Vulneravel (VU),VU,Cerrado,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Flora,Angiospermas,Myrtaceae,Accara elegans,-,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Mineracao,,,,,,,2014
Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis cornicauda,Libelula,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Poluicao,Sim,Nao,Nao,2,Sim,BA; ES,2014
Fauna,Invertebrados Terrestres,Coenagrionidae,Aceratobasis mourei,Libelula,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades,Sim,Nao,Nao,2,Sim,ES,2014
Fauna,Invertebrados Terrestres,Hypogastruridae,Acherontides eleonorae,Colembolo,Em Perigo (EN),EN,Mata Atlantica,Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Economicas:Turismo,Sim,Nao,Nao,3,Sim,PR; SP,2014
Flora,Angiospermas,Plantaginaceae,Achetaria caparaoense,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Queimadas,Sim,Nao,Nao,2,Sim,ES; MG,2014
Flora,Angiospermas,Plantaginaceae,Achetaria latifolia,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Assentamentos Humanos: Cidades,,,,,,,2014
Fauna,Peixes Marinhos,Achiridae,Achirus mucuri,Solha,Vulneravel (VU),VU,Mata Atlantica,Extracao Direta:Caca/Pesca; Outras Atividades Economicas:Energia; Poluicao Assoreamento,Sim,Nao,Nao,1,Sim,BA,2014
Flora,Angiospermas,Orchidaceae,Acianthera adiri,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,PR,2014
Flora,Angiospermas,Orchidaceae,Acianthera heringeri,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Nao,Nao,2,Sim,ES; MG; RJ,2014
