Classificacao,grupo,ordem,familia,especie_ou_subespecie,categoria,lista_2014,ano_lista
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus acaraje,VU,1,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus asturius,EN,1,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus caatingae,CR,0,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus eleonorae,EN,1,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus ferreus,CR,0,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus potiguar,VU,1,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus spelaeus,VU,0,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus taboa,CR,0,2022
Fauna,invertebrados_terrestres,Amblypygi,Charinidae,Charinus troglobius,EN,1,2022
Fauna,invertebrados_terrestres,Araneae,Caponiidae,Carajas paraua,EN,0,2022
Fauna,invertebrados_terrestres,Araneae,Caponiidae,Tisentnops onix,CR,0,2022
Fauna,invertebrados_terrestres,Araneae,Corinnidae,Ianduba paubrasil,EN,1,2022
Fauna,invertebrados_terrestres,Araneae,Ctenidae,Celaetycheus mungunza,CR,1,2022
Fauna,invertebrados_terrestres,Araneae,Ctenidae,Isoctenus corymbus,CR,1,2022
Fauna,invertebrados_terrestres,Araneae,Dipluridae,Harmonicon cerberus,CR,1,2022
Fauna,invertebrados_terrestres,Araneae,Drymusidae,Drymusa spelunca,CR,1,2022
Fauna,invertebrados_terrestres,Araneae,Gnaphosidae,Brasilomma enigmatica,EN,1,2022
Fauna,invertebrados_terrestres,Araneae,Gnaphosidae,Tricongius ybyguara,VU,1,2022
Fauna,invertebrados_terrestres,Araneae,Ochyroceratidae,Ochyrocera ibitipoca,EN,1,2022
Fauna,invertebrados_terrestres,Araneae,Ochyroceratidae,Speocera eleonorae,EN,1,2022
Fauna,invertebrados_terrestres,Araneae,Pholcidae,Metagonia diamantina,CR,1,2022
Fauna,invertebrados_terrestres,Araneae,Pholcidae,Metagonia potiguar,CR,1,2022
Fauna,invertebrados_terrestres,Araneae,Salticidae,Matagaia chromatopus,VU,1,2022
Fauna,invertebrados_terrestres,Araneae,Salticidae,Neonella noronha,VU,1,2022
Fauna,invertebrados_terrestres,Araneae,Segestriidae,Ariadna aurea,VU,0,2022
