Classificacao,familia,especie_ou_subespecie_variedade,categoria,lista_2014,ano_lista
Flora,Acanthaceae,Aphelandra espirito-santensis,EN,1,2022
Flora,Acanthaceae,Aphelandra margaritae,VU,1,2022
Flora,Acanthaceae,Aphelandra maximiliana,EN,1,2022
Flora,Acanthaceae,Aphelandra rigida,EN,0,2022
Flora,Acanthaceae,Aphelandra stephanophysa,VU,0,2022
Flora,Acanthaceae,Dyschoriste lavandulacea,EN,1,2022
Flora,Acanthaceae,Dyschoriste smithii,CR,1,2022
Flora,Acanthaceae,Justicia clausseniana,EN,1,2022
Flora,Acanthaceae,Justicia genuflexa,VU,1,2022
Flora,Acanthaceae,Justicia meyeniana,EN,0,2022
Flora,Acanthaceae,Justicia nervata,EN,0,2022
Flora,Acanthaceae,Justicia polita,EN,1,2022
Flora,Acanthaceae,Justicia ramulosa,VU,1,2022
Flora,Acanthaceae,Justicia tijucensis,VU,1,2022
Flora,Acanthaceae,Odontonema dissitiflorum,EN,1,2022
Flora,Acanthaceae,Pachystachys dubiosa,EN,1,2022
Flora,Acanthaceae,Schaueria paranaensis,EN,1,2022
Flora,Acanthaceae,Staurogyne brachiata,EN,1,2022
Flora,Acanthaceae,Staurogyne elegans,VU,1,2022
Flora,Acanthaceae,Staurogyne euryphylla,EN,0,2022
Flora,Acanthaceae,Staurogyne itatiaiae,EN,1,2022
Flora,Acanthaceae,Staurogyne vauthieriana,EN,1,2022
Flora,Acanthaceae,Staurogyne veronicifolia,EN,1,2022
Flora,Acanthaceae,Staurogyne warmingiana,EN,1,2022
Flora,Acanthaceae,Stenandrium hatschbachii,EN,1,2022
Flora,Acanthaceae,Stenandrium stenophyllum,EN,1,2022
Flora,Achariaceae,Kuhlmanniodendron macrocarpum,EN,0,2022
Flora,Alismataceae,Sagittaria lancifolia,VU,1,2022
Flora,Alstroemeriaceae,Alstroemeria amabilis,EN,1,2022
Flora,Alstroemeriaceae,Alstroemeria brasiliensis,EN,1,2022
Flora,Alstroemeriaceae,Alstroemeria capixaba,CR,1,2022
Flora,Alstroemeriaceae,Alstroemeria caryophyllaea,EN,1,2022
Flora,Alstroemeriaceae,Alstroemeria malmeana,CR,1,2022
Flora,Alstroemeriaceae,Alstroemeria orchidioides,EN,1,2022
Flora,Alstroemeriaceae,Alstroemeria penduliflora,EN,1,2022
Flora,Amaranthaceae,Alternanthera hirtula,VU,1,2022
Flora,Amaranthaceae,Alternanthera januarensis,EN,1,2022
Flora,Amaranthaceae,Amaranthus rosengurtii,EN,1,2022
Flora,Amaranthaceae,Froelichiella grisea,EN,1,2022
Flora,Amaranthaceae,Gomphrena centrota,EN,1,2022
Flora,Amaranthaceae,Gomphrena hatschbachiana,EN,1,2022
Flora,Amaranthaceae,Gomphrena nigricans,CR,1,2022
Flora,Amaranthaceae,Gomphrena paranensis,VU,1,2022
Flora,Amaranthaceae,Gomphrena pulchella,EN,1,2022
Flora,Amaranthaceae,Gomphrena regeliana,VU,1,2022
Flora,Amaranthaceae,Pfaffia argyrea,EN,1,2022
Flora,Amaranthaceae,Pfaffia minarum,VU,1,2022
Flora,Amaranthaceae,Quaternella glabratoides,EN,1,2022
Flora,Amaryllidaceae,Griffinia aracensis,CR,1,2022
Flora,Amaryllidaceae,Griffinia colatinensis,CR,1,2022
Flora,Amaryllidaceae,Griffinia espiritensis,EN,1,2022
Flora,Amaryllidaceae,Griffinia gardneriana,EN,1,2022
Flora,Amaryllidaceae,Griffinia hyacinthina,EN,1,2022
Flora,Amaryllidaceae,Griffinia intermedia,EN,0,2022
Flora,Amaryllidaceae,Griffinia liboniana,EN,1,2022
Flora,Amaryllidaceae,Griffinia nocturna,CR,1,2022
Flora,Amaryllidaceae,Griffinia parviflora,CR,1,2022
Flora,Amaryllidaceae,Griffinia paubrasilica,CR,1,2022
Flora,Amaryllidaceae,Hippeastrum angustifolium,VU,1,2022
Flora,Amaryllidaceae,Hippeastrum brasilianum,EN,1,2022
Flora,Amaryllidaceae,Hippeastrum breviflorum,EN,1,2022
Flora,Amaryllidaceae,Hippeastrum leucobasis,CR,1,2022
Flora,Amaryllidaceae,Hippeastrum morelianum,VU,1,2022
Flora,Amaryllidaceae,Hippeastrum,CR,1,2022
Flora,Amaryllidaceae,Hippeastrum psittacinum,EN,1,2022
Flora,Amaryllidaceae,Hippeastrum,EN,1,2022
Flora,Amaryllidaceae,Hippeastrum santacatarina,EN,1,2022
Flora,Amaryllidaceae,Hippeastrum striatum,EN,1,2022
Flora,Amaryllidaceae,Hippeastrum vittatum,EN,1,2022
Flora,Amaryllidaceae,Worsleya procera,EN,1,2022
Flora,Amaryllidaceae,Zephyranthes blumenavia,EN,1,2022
Flora,Amaryllidaceae,Zephyranthes candida,EN,1,2022
Flora,Amaryllidaceae,Zephyranthes capivarina,VU,1,2022
Flora,Amaryllidaceae,Zephyranthes coerulea,VU,1,2022
Flora,Amaryllidaceae,Zephyranthes irwiniana,VU,1,2022
Flora,Amaryllidaceae,Zephyranthes paranaensis,EN,1,2022
Flora,Anacardiaceae,Astronium balansae,EN,1,2022
Flora,Anacardiaceae,Astronium glaziovii,EN,0,2022
Flora,Anacardiaceae,Astronium pumilum,VU,0,2022
Flora,Anacardiaceae,Campnosperma gummiferum,EN,0,2022
Flora,Anacardiaceae,Schinopsis balansae,EN,1,2022
Flora,Anacardiaceae,Schinus ramboi,EN,0,2022
Flora,Anacardiaceae,Spondias admirabilis,EN,0,2022
Flora,Anacardiaceae,Spondias bahiensis,EN,0,2022
Flora,Anacardiaceae,Thyrsodium bolivianum,EN,0,2022
Flora,Anemiaceae,Anemia blechnoides,VU,1,2022
Flora,Anemiaceae,Anemia dentata,VU,1,2022
Flora,Anemiaceae,Anemia gardneri,VU,1,2022
Flora,Anemiaceae,Anemia trichorhiza,VU,1,2022
Flora,Anisophylleaceae,Anisophyllea manausensis,VU,0,2022
Flora,Annonaceae,Annona angustifolia,EN,0,2022
Flora,Annonaceae,Annona ferruginea,CR,0,2022
Flora,Annonaceae,Annona gardneri,EN,0,2022
Flora,Annonaceae,Annona parviflora,VU,1,2022
Flora,Annonaceae,Bocagea viridis,VU,0,2022
Flora,Annonaceae,Cymbopetalum euneurum,EN,0,2022
Flora,Annonaceae,Duguetia bahiensis,VU,0,2022
Flora,Annonaceae,Duguetia duckei,EN,0,2022
Flora,Annonaceae,Duguetia magnolioidea,EN,1,2022
Flora,Annonaceae,Duguetia microphylla,EN,0,2022
Flora,Annonaceae,Duguetia pohliana,EN,0,2022
Flora,Annonaceae,Duguetia restingae,CR,1,2022
